Date,Daylength_s,P_mm,SRad_Wm2,Tmax_C,Tmin_C,VP_Pa
2000-12-16,35161.71,22.83,221.51,19.25,3.63,792.22
2000-12-17,35152.76,3.86,206.84,2.8,-7.69,342.8
2000-12-18,35146.55,8.92,258.96,7.99,-8.36,325.35
2000-12-19,35143.09,0.0,280.26,1.37,-9.58,295.61
2000-12-20,35142.39,2.74,243.32,2.37,-11.61,251.46
2000-12-21,35144.45,2.9,178.84,0.88,-7.94,336.03
2000-12-22,35149.25,0.0,254.46,0.48,-8.78,314.78
2000-12-23,35156.81,0.0,357.84,7.8,-9.31,301.82
2000-12-24,35167.12,0.0,321.98,10.42,-3.5,471.55
2000-12-25,35180.16,0.0,297.19,8.19,-4.0,454.41
2000-12-26,35195.94,0.0,237.96,8.66,-0.36,594.88
2000-12-27,35214.43,8.07,60.62,4.34,1.78,694.33
2000-12-28,35235.63,3.79,128.25,4.42,-1.34,553.53
2000-12-29,35259.52,0.0,265.79,3.95,-5.52,405.05
2000-12-30,35286.08,0.0,219.98,-1.31,-8.56,320.33
2001-01-01,35315.43,0.92,160.71,-1.59,-7.23,355.13
2001-01-02,35347.3,0.0,282.26,1.56,-9.4,299.66
2001-01-03,35381.78,0.0,344.11,4.02,-11.44,254.95
2001-01-04,35418.86,0.0,359.75,7.88,-9.58,295.54
2001-01-05,35458.5,0.0,371.17,13.64,-6.13,386.44
2001-01-06,35500.68,0.0,357.95,13.24,-4.29,444.51
2001-01-07,35545.38,24.93,239.35,13.94,-3.29,479.09
2001-01-08,35592.56,0.0,229.92,7.91,-1.65,541.21
2001-01-09,35642.19,0.0,219.1,3.28,-5.52,404.91
2001-01-10,35694.25,0.0,338.18,10.82,-8.0,334.4
2001-01-11,35748.7,10.25,188.96,5.51,-5.03,420.26
2001-01-12,35805.5,0.0,81.11,5.0,2.11,711.22
2001-01-13,35864.63,0.0,266.41,13.85,2.17,714.24
2001-01-14,35926.04,7.26,178.19,12.02,2.14,712.55
2001-01-15,35989.69,0.0,257.15,14.93,3.9,807.21
2001-01-16,36055.56,10.35,95.27,7.66,2.9,751.96
2001-01-17,36123.61,14.83,89.44,8.61,4.16,822.26
2001-01-18,36193.78,20.31,189.23,16.73,6.0,934.68
2001-01-19,36266.05,22.65,179.66,14.81,4.98,870.72
2001-01-20,36340.37,0.0,107.94,2.51,-1.28,556.01
2001-01-21,36416.71,0.0,265.21,4.3,-6.1,387.41
